Athlete,Low,High,Mean,LRC readers
Tamirat Tola,40000,50000,43333,40000
Lemi Berhanu,30000,75000,51667,25000
Lelisa Desisa,50000,125000,78333,40000
Nobert Kigen,20000,30000,25000,15000
Wilson Chebet,25000,40000,30000,18750
Evans Chebet,15000,30000,23333,15000
Felix Kandie,10000,25000,20000,10000
Geoffrey Kirui (reigning champ),100000,150000,125000,35000
Philemon Rono,15000,30000,21667,10000
Abdi Nageeye,10000,25000,18333,5000
Lusapho April,7500,15000,10833,5000
Arne Gabius,15000,25000,20000,5000
Reid Coolsaet,10000,15000,11667,5000
Stephen Sambu,10000,40000,23333,5000
Eric Gillis,5000,15000,10000,3125
Abdi Abdirahman,20000,50000,36667,10000
Galen Rupp,125000,150000,141667,85000
Ryan Vail,10000,20000,16667,5795
Elkanah Kibet,10000,10000,10000,4000
Timothy Ritchie,5000,20000,11667,3250
Shadrack Biwott,5000,25000,13333,5000
Scott Smith,5000,25000,13333,2000
Andrew Bumbalough,5000,15000,10000,3000
