Athlete,Low,High,Mean,LRC readers
Eliud Kipchoge,300000.00,750000.00,512500.00,500000.00
Jenny Simpson,450000.00,750000.00,591666.00,200000.00
Emma Coburn,175000.00,500000.00,345833.00,180000.00
Galen Rupp,500000.00,1000000.00,758333.00,500000.00
Tamirat Tola,75000.00,100000.00,93750.00,100000.00
Evan Jager,150000.00,350000.00,250000.00,200000.00
Muktar Edris,75000.00,200000.00,127500.00,100000.00
Edward Cheserek,100000.00,200000.00,140000.00,150000.00
Ajee Wilson,175000.00,300000.00,229166.00,145000.00
Mary Cain (peak),150000.00,400000.00,275000.00,150000.00
Mary Cain (2018),0.00,100000.00,41667.00,50000.00
Alexa Efraimson,100000.00,250000.00,166666.00,75000.00
Courtney Frerichs,30000.00,75000.00,60000.00,45000.00
Courtney Frerichs (2018),80000.00,175000.00,131000.00,50000.00
Kenenisa Bekele (peak),350000.00,1000000.00,583333.00,500000.00
Kenenisa Bekele (2018),100000.00,400000.00,210000.00,200000.00
